movie1	movie2	class
Maid in Manhattan	Because of Winn-Dixie	director in common
Maid in Manhattan	Snow Flower and the Secret Fan	director in common
Crimson Tide	The Fan	director in common
Crimson Tide	Domino	director in common
Crimson Tide	Beverly Hills Cop II	director in common
Crimson Tide	Top Gun	director in common
Crimson Tide	True Romance	director in common
The Pursuit of Happyness	Seven Pounds	director in common
The Pursuit of Happyness	Playing for Keeps	director in common
The Pursuit of Happyness	Remember Me, My Love	director in common
Flightplan	The Time Traveler's Wife	director in common
Disclosure	Sleepers	director in common
Disclosure	What Just Happened	director in common
Disclosure	Rain Man	director in common
Disclosure	Man of the Year	director in common
Disclosure	Envy	director in common
Disclosure	Young Sherlock Holmes	director in common
Disclosure	Wag the Dog	director in common
Disclosure	Good Morning, Vietnam	director in common
Disclosure	Diner	director in common
Disclosure	An Everlasting Piece	director in common
City of Angels	Moonlight Mile	director in common
Kill Bill: Vol. 1	Kill Bill: Vol. 2	director in common
Kill Bill: Vol. 1	Jackie Brown	director in common
Kill Bill: Vol. 1	Pulp Fiction	director in common
Kill Bill: Vol. 1	Reservoir Dogs	director in common
Bowfinger	The Indian in the Cupboard	director in common
Bowfinger	In & Out	director in common
Bowfinger	Little Shop of Horrors	director in common
Bowfinger	Death at a Funeral	director in common
Kill Bill: Vol. 2	Jackie Brown	director in common
Kill Bill: Vol. 2	Pulp Fiction	director in common
Kill Bill: Vol. 2	Reservoir Dogs	director in common
Death Becomes Her	Back to the Future Part II	director in common
Death Becomes Her	Back to the Future Part III	director in common
Death Becomes Her	The Walk	director in common
Death Becomes Her	Flight	director in common
Death Becomes Her	Back to the Future	director in common
Shanghai Noon	Failure to Launch	director in common
Shanghai Noon	Marmaduke	director in common
Mr. Popper's Penguins	Freaky Friday	director in common
Mr. Popper's Penguins	Mean Girls	director in common
Mr. Popper's Penguins	Head Over Heels	director in common
Free Birds	Jonah Hex	director in common
Alien 3	The Game	director in common
Alien 3	Panic Room	director in common
Alien 3	The Social Network	director in common
Alien 3	Se7en	director in common
Evita	The Life of David Gale	director in common
Evita	Angela's Ashes	director in common
Ronin	The Island of Dr. Moreau	director in common
Ronin	Reindeer Games	director in common
Ronin	Prophecy	director in common
Ronin	The Train	director in common
The Ghost and the Darkness	The Reaping	director in common
The Ghost and the Darkness	Predator 2	director in common
The Ghost and the Darkness	A Nightmare on Elm Street 5: The Dream Child	director in common
The Ghost and the Darkness	Race	director in common
The Watch	Hot Rod	director in common
The Hunted	Jade	director in common
The Hunted	Sorcerer	director in common
The Hunted	The French Connection	director in common
The Hunted	The Exorcist	director in common
The Hunted	Killer Joe	director in common
Instinct	Phenomenon	director in common
Instinct	Last Vegas	director in common
Instinct	Cool Runnings	director in common
Stuck on You	Me, Myself & Irene	director in common
Stuck on You	Dumb and Dumber To	director in common
Stuck on You	Shallow Hal	director in common
Stuck on You	Fever Pitch	director in common
Stuck on You	The Three Stooges	director in common
Stuck on You	Kingpin	director in common
Stuck on You	There's Something About Mary	director in common
The Pirates! Band of Misfits	Chicken Run	director in common
Changeling	Flags of Our Fathers	director in common
Changeling	Absolute Power	director in common
Changeling	Hereafter	director in common
Changeling	Blood Work	director in common
Changeling	Jersey Boys	director in common
Changeling	J. Edgar	director in common
Changeling	Midnight in the Garden of Good and Evil	director in common
Changeling	Mystic River	director in common
Changeling	Million Dollar Baby	director in common
Changeling	Gran Torino	director in common
Changeling	The Bridges of Madison County	director in common
Changeling	Firefox	director in common
Changeling	Unforgiven	director in common
Changeling	Letters from Iwo Jima	director in common
Changeling	Pale Rider	director in common
Changeling	High Plains Drifter	director in common
Chain Reaction	The Fugitive	director in common
Chain Reaction	Holes	director in common
The Fan	Domino	director in common
The Fan	Beverly Hills Cop II	director in common
The Fan	Top Gun	director in common
The Fan	True Romance	director in common
The Phantom of the Opera	The Client	director in common
The Phantom of the Opera	A Time to Kill	director in common
The Phantom of the Opera	8MM	director in common
The Phantom of the Opera	The Number 23	director in common
The Phantom of the Opera	Flawless	director in common
The Phantom of the Opera	Flatliners	director in common
The Phantom of the Opera	Veronica Guerin	director in common
The Phantom of the Opera	Phone Booth	director in common
The Phantom of the Opera	The Lost Boys	director in common
Elizabeth: The Golden Age	The Four Feathers	director in common
Elizabeth: The Golden Age	Elizabeth	director in common
Æon Flux	Jennifer's Body	director in common
Gods and Generals	Gettysburg	director in common
Muppets Most Wanted	The Muppets	director in common
Thunderbirds	Star Trek: First Contact	director in common
Thunderbirds	Clockstoppers	director in common
A Very Long Engagement	Micmacs	director in common
A Very Long Engagement	Amélie	director in common
A Very Long Engagement	The Young and Prodigious T.S. Spivet	director in common
Lolita	The Shining	director in common
Lolita	Barry Lyndon	director in common
Lolita	2001: A Space Odyssey	director in common
Lolita	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	director in common
Eye See You	I Know What You Did Last Summer	director in common
Blade II	Pan's Labyrinth	director in common
Seven Pounds	Playing for Keeps	director in common
Seven Pounds	Remember Me, My Love	director in common
Bullet to the Head	Undisputed	director in common
Bullet to the Head	The Long Riders	director in common
The Godfather: Part III	The Cotton Club	director in common
The Godfather: Part III	Bram Stoker's Dracula	director in common
The Godfather: Part III	The Rainmaker	director in common
The Godfather: Part III	City Hall	 2 actors in common
The Godfather: Part III	Apocalypse Now	director in common
The Godfather: Part III	Peggy Sue Got Married	director in common
The Godfather: Part III	The Godfather: Part II	director in common
The Godfather: Part III	The Outsiders	director in common
The Godfather: Part III	The Godfather	director in common
The Godfather: Part III	Twixt	director in common
The Godfather: Part III	The Conversation	director in common
Elizabethtown	Jerry Maguire	director in common
Elizabethtown	We Bought a Zoo	director in common
Elizabethtown	Aloha	director in common
You, Me and Dupree	Welcome to Collinwood	director in common
Superman II	Superman III	director and 2 actors in common
Superman II	Robin and Marian	director in common
Superman II	A Funny Thing Happened on the Way to the Forum	director in common
Superman II	A Hard Day's Night	director in common
Gigli	Midnight Run	director in common
Gigli	Beverly Hills Cop	director in common
Shaft	Abduction	director in common
Shaft	Four Brothers	director in common
Shaft	Baby Boy	director in common
Shaft	Poetic Justice	director in common
Shaft	Boyz n the Hood	director in common
Anastasia	The Land Before Time	director in common
Moulin Rouge!	Romeo + Juliet	director in common
Domestic Disturbance	City Hall	director in common
Domestic Disturbance	Sea of Love	director in common
Black Mass	Out of the Furnace	director in common
Black Mass	Crazy Heart	director in common
Flags of Our Fathers	Absolute Power	director in common
Flags of Our Fathers	Hereafter	director in common
Flags of Our Fathers	Blood Work	director in common
Flags of Our Fathers	Jersey Boys	director in common
Flags of Our Fathers	J. Edgar	director in common
Flags of Our Fathers	Midnight in the Garden of Good and Evil	director in common
Flags of Our Fathers	Mystic River	director in common
Flags of Our Fathers	Million Dollar Baby	director in common
Flags of Our Fathers	Gran Torino	director in common
Flags of Our Fathers	The Bridges of Madison County	director in common
Flags of Our Fathers	Firefox	director in common
Flags of Our Fathers	Unforgiven	director in common
Flags of Our Fathers	Letters from Iwo Jima	director in common
Flags of Our Fathers	Pale Rider	director in common
Flags of Our Fathers	High Plains Drifter	director in common
Law Abiding Citizen	The Negotiator	director in common
Law Abiding Citizen	A Man Apart	director in common
Law Abiding Citizen	Straight Outta Compton	director in common
Law Abiding Citizen	Set It Off	director in common
Law Abiding Citizen	Friday	director in common
Grindhouse	The Adventures of Sharkboy and Lavagirl 3-D	director in common
Grindhouse	Spy Kids 3-D: Game Over	director in common
Grindhouse	Spy Kids 2: Island of Lost Dreams	director in common
Grindhouse	Spy Kids	director in common
Grindhouse	Once Upon a Time in Mexico	director in common
Grindhouse	Spy Kids: All the Time in the World in 4D	director in common
Grindhouse	Shorts	director in common
Grindhouse	From Dusk Till Dawn	director in common
Grindhouse	Machete Kills	director in common
Grindhouse	The Faculty	director in common
Grindhouse	Desperado	director in common
Grindhouse	El Mariachi	director in common
Beloved	The Silence of the Lambs	director in common
Beloved	Philadelphia	director in common
Beloved	Rachel Getting Married	director in common
Lucky You	The Judge	 2 actors in common
Lucky You	The River Wild	director in common
Lucky You	8 Mile	director in common
Lucky You	L.A. Confidential	director in common
Lucky You	Wonder Boys	director in common
Lucky You	Losin' It	director in common
Catch Me If You Can	Indiana Jones and the Last Crusade	director in common
Catch Me If You Can	Bridge of Spies	director in common
Catch Me If You Can	Amistad	director in common
Catch Me If You Can	1941	director in common
Catch Me If You Can	Indiana Jones and the Temple of Doom	director in common
Catch Me If You Can	Schindler's List	director in common
Catch Me If You Can	Raiders of the Lost Ark	director in common
Catch Me If You Can	Close Encounters of the Third Kind	director in common
Catch Me If You Can	The Color Purple	director in common
Catch Me If You Can	Jaws	director in common
Catch Me If You Can	E.T. the Extra-Terrestrial	director in common
Zero Dark Thirty	The Hurt Locker	director in common
The Break-Up	Yes Man	director in common
The Break-Up	Bring It On	director in common
Mamma Mia!	The Iron Lady	director in common
Valentine's Day	Raising Helen	director in common
Valentine's Day	The Princess Diaries 2: Royal Engagement	director in common
Valentine's Day	The Princess Diaries	director in common
Valentine's Day	New Year's Eve	director in common
Valentine's Day	Georgia Rule	director in common
Valentine's Day	Pretty Woman	director in common
The Dukes of Hazzard	Beerfest	director in common
The Dukes of Hazzard	Club Dread	director in common
The Dukes of Hazzard	Super Troopers	director in common
The Thin Red Line	The Tree of Life	director in common
The Thin Red Line	The New World	director in common
The Thin Red Line	Days of Heaven	director in common
The Change-Up	Shanghai Knights	director in common
The Change-Up	The Judge	director in common
The Change-Up	Clay Pigeons	director in common
Man on the Moon	Amadeus	director in common
Man on the Moon	One Flew Over the Cuckoo's Nest	director in common
Casino	Mean Streets	director in common
Casino	Cape Fear	director in common
Casino	The Age of Innocence	director in common
Casino	Bringing Out the Dead	director in common
Casino	Kundun	director in common
Casino	Goodfellas	director in common
Casino	Raging Bull	director in common
Casino	New York, New York	director in common
Casino	The Color of Money	director in common
Casino	The Last Temptation of Christ	director in common
Casino	Taxi Driver	director in common
Casino	Shine a Light	director in common
Casino	The Last Waltz	director in common
From Paris with Love	The Gunman	director in common
From Paris with Love	Taken	director in common
From Paris with Love	District B13	director in common
Me, Myself & Irene	Dumb and Dumber To	director in common
Me, Myself & Irene	Shallow Hal	director in common
Me, Myself & Irene	Fever Pitch	director in common
Me, Myself & Irene	The Three Stooges	director in common
Me, Myself & Irene	Kingpin	director in common
Me, Myself & Irene	There's Something About Mary	director in common
Barnyard	Ace Ventura: When Nature Calls	director in common
Barnyard	Nothing to Lose	director in common
Barnyard	Kung Pow: Enter the Fist	director in common
Deck the Halls	Big Momma's House 2	director in common
Deck the Halls	Big Mommas: Like Father, Like Son	director in common
Deck the Halls	See Spot Run	director in common
Deck the Halls	Malibu's Most Wanted	director in common
The Twilight Saga: New Moon	Twilight	 2 actors in common
The Twilight Saga: New Moon	Down to Earth	director in common
The Twilight Saga: New Moon	About a Boy	director in common
The Twilight Saga: New Moon	A Better Life	director in common
Shrek	Cirque du Soleil: Worlds Away	director in common
Robin Hood: Prince of Thieves	The Count of Monte Cristo	director in common
Robin Hood: Prince of Thieves	Risen	director in common
Robin Hood: Prince of Thieves	Rapa Nui	director in common
Jerry Maguire	We Bought a Zoo	director in common
Jerry Maguire	Aloha	director in common
Ted	A Million Ways to Die in the West	director in common
Patch Adams	Liar Liar	director in common
Patch Adams	Ace Ventura: Pet Detective	director in common
Anchorman 2: The Legend Continues	The Big Short	director in common
Anchorman 2: The Legend Continues	Anchorman: The Legend of Ron Burgundy	director and 2 actors in common
Mr. Deeds	Drillbit Taylor	director in common
Mr. Deeds	Big Daddy	 2 actors in common
Mr. Deeds	Without a Paddle	director in common
Erin Brockovich	Traffic	director in common
Erin Brockovich	Out of Sight	director in common
Erin Brockovich	The Good German	director in common
Erin Brockovich	Side Effects	director in common
Erin Brockovich	Haywire	director in common
Erin Brockovich	The Informant!	director in common
Erin Brockovich	The Limey	director in common
Erin Brockovich	Magic Mike	director in common
Erin Brockovich	Mystic Pizza	 2 actors in common
Erin Brockovich	Full Frontal	director in common
Erin Brockovich	Sex, Lies, and Videotape	director in common
How to Lose a Guy in 10 Days	Miss Congeniality	director in common
How to Lose a Guy in 10 Days	Ri¢hie Ri¢h	director in common
How to Lose a Guy in 10 Days	Just My Luck	director in common
How to Lose a Guy in 10 Days	Welcome to Mooseport	director in common
How to Lose a Guy in 10 Days	My Life in Ruins	director in common
How to Lose a Guy in 10 Days	Mystic Pizza	director in common
22 Jump Street	21 Jump Street	director in common
Interview with the Vampire: The Vampire Chronicles	In Dreams	director in common
Interview with the Vampire: The Vampire Chronicles	The Good Thief	director in common
Interview with the Vampire: The Vampire Chronicles	Michael Collins	director in common
Interview with the Vampire: The Vampire Chronicles	The End of the Affair	director in common
Interview with the Vampire: The Vampire Chronicles	We're No Angels	director in common
Interview with the Vampire: The Vampire Chronicles	Ondine	director in common
Interview with the Vampire: The Vampire Chronicles	The Crying Game	director in common
Yes Man	Failure to Launch	 2 actors in common
Yes Man	Bring It On	director in common
Central Intelligence	We're the Millers	director in common
Central Intelligence	Dodgeball: A True Underdog Story	director in common
Stepmom	Rent	director in common
Stepmom	Mrs. Doubtfire	director in common
Stepmom	Home Alone 2: Lost in New York	director in common
Stepmom	I Love You, Beth Cooper	director in common
Stepmom	Home Alone	director in common
Daddy's Home	Horrible Bosses 2	director in common
Daddy's Home	Sex Drive	director in common
Into the Woods	Chicago	director in common
Inside Man	Miracle at St. Anna	director in common
Inside Man	Malcolm X	director in common
Inside Man	He Got Game	director in common
Inside Man	Summer of Sam	director in common
Inside Man	Crooklyn	director in common
Inside Man	Girl 6	director in common
Inside Man	Mo' Better Blues	director in common
Inside Man	Bamboozled	director in common
Inside Man	School Daze	director in common
Inside Man	Do the Right Thing	director in common
Inside Man	25th Hour	director in common
Inside Man	The Original Kings of Comedy	director in common
Inside Man	Get on the Bus	director in common
Inside Man	Da Sweet Blood of Jesus	director in common
Inside Man	She's Gotta Have It	director in common
Payback	A Knight's Tale	director in common
Payback	42	director in common
Payback	The Order	director in common
Payback	Legend	director in common
Congo	Eight Below	director in common
Congo	Alive	director in common
Congo	Arachnophobia	director in common
We Bought a Zoo	Aloha	director in common
Knowing	The Crow	director in common
Knowing	Dark City	director in common
Failure to Launch	Marmaduke	director in common
Crazy, Stupid, Love.	I Love You Phillip Morris	director in common
Garfield	Zoom	director in common
Garfield	The Borrowers	director in common
Garfield	Bill & Ted's Bogus Journey	director in common
Christmas with the Kranks	America's Sweethearts	director in common
Moneyball	Capote	director in common
Outbreak	The NeverEnding Story	director in common
Outbreak	Das Boot	director in common
Non-Stop	Run All Night	director in common
Non-Stop	Unknown	director in common
Non-Stop	House of Wax	director in common
Non-Stop	Orphan	director in common
Non-Stop	The Shallows	director in common
Race to Witch Mountain	Paul Blart: Mall Cop 2	director in common
Race to Witch Mountain	Parental Guidance	director in common
Race to Witch Mountain	She's the Man	director in common
Race to Witch Mountain	The Game Plan	director in common
Race to Witch Mountain	You Again	director in common
V for Vendetta	Ninja Assassin	director in common
V for Vendetta	The Raven	director in common
V for Vendetta	Survivor	director in common
Shanghai Knights	The Judge	director in common
Shanghai Knights	Clay Pigeons	director in common
Herbie Fully Loaded	D.E.B.S.	director in common
Don't Say a Word	Impostor	director in common
Don't Say a Word	The Express	director in common
Don't Say a Word	Kiss the Girls	director in common
Don't Say a Word	Homefront	director in common
Don't Say a Word	Things to Do in Denver When You're Dead	director in common
Hansel & Gretel: Witch Hunters	Dead Snow	director in common
Unfaithful	9½ Weeks	director in common
Unfaithful	Fatal Attraction	director in common
Unfaithful	Flashdance	director in common
I Am Number Four	Disturbia	director in common
I Am Number Four	The Salton Sea	director in common
Syriana	Abandon	director in common
13 Hours	Pain & Gain	director in common
13 Hours	Bad Boys	director in common
Firewall	Wimbledon	director in common
Firewall	Richard III	director in common
Absolute Power	Hereafter	director in common
Absolute Power	Blood Work	director in common
Absolute Power	Jersey Boys	director in common
Absolute Power	J. Edgar	director in common
Absolute Power	Midnight in the Garden of Good and Evil	director in common
Absolute Power	Mystic River	director in common
Absolute Power	Million Dollar Baby	director in common
Absolute Power	Gran Torino	director in common
Absolute Power	The Bridges of Madison County	director in common
Absolute Power	Firefox	director in common
Absolute Power	Unforgiven	director in common
Absolute Power	Letters from Iwo Jima	director in common
Absolute Power	Pale Rider	director in common
Absolute Power	High Plains Drifter	director in common
G.I. Jane	White Squall	director in common
G.I. Jane	A Good Year	director in common
G.I. Jane	Black Rain	director in common
G.I. Jane	Blade Runner	director in common
G.I. Jane	The Counselor	director in common
G.I. Jane	Alien	director in common
The Game	Panic Room	director in common
The Game	The Social Network	director in common
The Game	Se7en	director in common
Silent Hill	Silent Hill: Revelation 3D	 2 actors in common
The Replacements	The Whole Ten Yards	director in common
The Replacements	My Best Friend's Girl	director in common
The Replacements	Made	 2 actors in common
American Reunion	American Pie 2	 2 actors in common
American Reunion	American Pie	 2 actors in common
American Reunion	Harold & Kumar Escape from Guantanamo Bay	director in common
The Negotiator	A Man Apart	director in common
The Negotiator	Straight Outta Compton	director in common
The Negotiator	Set It Off	director in common
The Negotiator	Friday	director in common
Into the Storm	Final Destination 5	director in common
Beverly Hills Cop III	The Blues Brothers	director in common
Beverly Hills Cop III	Trading Places	director in common
Beverly Hills Cop III	Animal House	director in common
Beverly Hills Cop III	The Kentucky Fried Movie	director in common
Gremlins 2: The New Batch	Small Soldiers	director in common
Gremlins 2: The New Batch	Gremlins	director in common
Gremlins 2: The New Batch	Twilight Zone: The Movie	director in common
Gremlins 2: The New Batch	The Hole	director in common
Gremlins 2: The New Batch	The Howling	director in common
The Judge	Clay Pigeons	director in common
The Peacemaker	Pay It Forward	director in common
Resident Evil: Apocalypse	Resident Evil: Extinction	 2 actors in common
Bridget Jones: The Edge of Reason	Bridget Jones's Diary	 2 actors in common
Bridget Jones: The Edge of Reason	When Did You Last See Your Father?	 2 actors in common
Out of Time	High Crimes	director in common
Out of Time	One True Thing	director in common
The Adventures of Sharkboy and Lavagirl 3-D	Spy Kids 3-D: Game Over	director in common
The Adventures of Sharkboy and Lavagirl 3-D	Spy Kids 2: Island of Lost Dreams	director in common
The Adventures of Sharkboy and Lavagirl 3-D	Spy Kids	director in common
The Adventures of Sharkboy and Lavagirl 3-D	Once Upon a Time in Mexico	director in common
The Adventures of Sharkboy and Lavagirl 3-D	Spy Kids: All the Time in the World in 4D	director in common
The Adventures of Sharkboy and Lavagirl 3-D	Shorts	director in common
The Adventures of Sharkboy and Lavagirl 3-D	From Dusk Till Dawn	director in common
The Adventures of Sharkboy and Lavagirl 3-D	Machete Kills	director in common
The Adventures of Sharkboy and Lavagirl 3-D	The Faculty	director in common
The Adventures of Sharkboy and Lavagirl 3-D	Desperado	director in common
The Adventures of Sharkboy and Lavagirl 3-D	El Mariachi	director in common
The Beach	Sunshine	director in common
The Beach	127 Hours	director in common
The Beach	Steve Jobs	director in common
The Beach	Trance	director in common
The Beach	Slumdog Millionaire	director in common
The Beach	28 Days Later...	director in common
The Beach	Trainspotting	director in common
Raising Helen	The Princess Diaries 2: Royal Engagement	director in common
Raising Helen	The Princess Diaries	director in common
Raising Helen	New Year's Eve	director in common
Raising Helen	Georgia Rule	director in common
Raising Helen	Pretty Woman	director in common
Ninja Assassin	The Raven	director in common
Ninja Assassin	Survivor	director in common
For Love of the Game	The Quick and the Dead	director in common
For Love of the Game	Drag Me to Hell	director in common
For Love of the Game	A Simple Plan	director in common
For Love of the Game	Army of Darkness	director in common
For Love of the Game	Evil Dead II	director in common
For Love of the Game	The Evil Dead	director in common
Striptease	Isn't She Great	director in common
Hereafter	Blood Work	director in common
Hereafter	Jersey Boys	director in common
Hereafter	J. Edgar	director in common
Hereafter	Midnight in the Garden of Good and Evil	director in common
Hereafter	Mystic River	director in common
Hereafter	Million Dollar Baby	director in common
Hereafter	Gran Torino	director in common
Hereafter	The Bridges of Madison County	director in common
Hereafter	Firefox	director in common
Hereafter	Unforgiven	director in common
Hereafter	Letters from Iwo Jima	director in common
Hereafter	Pale Rider	director in common
Hereafter	High Plains Drifter	director in common
Murder by Numbers	Kiss of Death	director in common
Assassins	16 Blocks	director in common
Assassins	Lethal Weapon 3	director in common
Assassins	Radio Flyer	director in common
Assassins	Scrooged	director in common
Assassins	The Omen	director in common
Assassins	Ladyhawke	director in common
Hannibal Rising	Girl with a Pearl Earring	director in common
The Story of Us	The Bucket List	director in common
The Story of Us	Ghosts of Mississippi	director in common
The Story of Us	A Few Good Men	director in common
The Story of Us	Alex & Emma	director in common
The Story of Us	And So It Goes	director in common
The Story of Us	When Harry Met Sally...	director in common
The Story of Us	The Princess Bride	director in common
The Story of Us	Flipped	director in common
The Story of Us	Stand by Me	director in common
The Host	Lord of War	director in common
The Host	Gattaca	director in common
The Host	In Time	director in common
The Host	Good Kill	director in common
Basic	The Thomas Crown Affair	director in common
Basic	Medicine Man	director in common
Basic	The Hunt for Red October	director in common
Basic	Die Hard	director in common
Basic	Predator	director in common
Blood Work	Jersey Boys	director in common
Blood Work	J. Edgar	director in common
Blood Work	Midnight in the Garden of Good and Evil	director in common
Blood Work	Mystic River	director in common
Blood Work	Million Dollar Baby	director in common
Blood Work	Gran Torino	director in common
Blood Work	The Bridges of Madison County	director in common
Blood Work	Firefox	director in common
Blood Work	Unforgiven	director in common
Blood Work	Letters from Iwo Jima	director in common
Blood Work	Pale Rider	director in common
Blood Work	High Plains Drifter	director in common
The International	Run Lola Run	director in common
The International	3	director in common
Escape from L.A.	Memoirs of an Invisible Man	director in common
Escape from L.A.	The Thing	director in common
Escape from L.A.	Ghosts of Mars	director in common
Escape from L.A.	Big Trouble in Little China	director in common
Escape from L.A.	Vampires	director in common
Escape from L.A.	The Fog	director in common
Escape from L.A.	Halloween	director in common
Escape from L.A.	Escape from New York	director in common
Escape from L.A.	They Live	director in common
The Life Aquatic with Steve Zissou	Fantastic Mr. Fox	director in common
The Life Aquatic with Steve Zissou	The Grand Budapest Hotel	director in common
The Life Aquatic with Steve Zissou	The Royal Tenenbaums	director and 2 actors in common
The Life Aquatic with Steve Zissou	Moonrise Kingdom	director in common
The Life Aquatic with Steve Zissou	Rushmore	director in common
The Life Aquatic with Steve Zissou	Bottle Rocket	director in common
The Life of David Gale	Angela's Ashes	director in common
Man of the House	Life or Something Like It	director in common
Man of the House	Rock Star	director in common
Man of the House	Mr. Holland's Opus	director in common
Man of the House	The Mighty Ducks	director in common
Man of the House	Bill & Ted's Excellent Adventure	director in common
Man of the House	Dead Like Me: Life After Death	director in common
Run All Night	Unknown	director in common
Run All Night	House of Wax	director in common
Run All Night	Orphan	director in common
Run All Night	The Shallows	director in common
Eastern Promises	A History of Violence	director in common
Eastern Promises	eXistenZ	director in common
Eastern Promises	A Dangerous Method	director in common
Eastern Promises	Spider	director in common
Eastern Promises	Videodrome	director in common
Into the Blue	Blue Crush	director in common
Into the Blue	Crazy/Beautiful	director in common
Into the Blue	Kickboxer: Vengeance	director in common
The Messenger: The Story of Joan of Arc	Lucy	director in common
The Messenger: The Story of Joan of Arc	Subway	director in common
Your Highness	Our Brand Is Crisis	director in common
Your Highness	Pineapple Express	director in common
Your Highness	The Sitter	director in common
Your Highness	Joe	director in common
Your Highness	Snow Angels	director in common
Your Highness	All the Real Girls	director in common
Your Highness	George Washington	director in common
Dream House	Get Rich or Die Tryin'	director in common
Dream House	Brothers	director in common
Mad City	Amen.	director in common
Baby's Day Out	Spaced Invaders	director in common
The Scarlet Letter	There Be Dragons	director in common
Fair Game	Go	director in common
Fair Game	Swingers	director in common
Domino	Beverly Hills Cop II	director in common
Domino	Top Gun	director in common
Domino	True Romance	director in common
Jade	Sorcerer	director in common
Jade	The French Connection	director in common
Jade	The Exorcist	director in common
Jade	Killer Joe	director in common
Gamer	Crank: High Voltage	director in common
Gamer	The Vatican Tapes	director in common
Gamer	Crank	director in common
Beautiful Creatures	P.S. I Love You	director in common
Beautiful Creatures	Freedom Writers	director in common
Beautiful Creatures	Living Out Loud	director in common
Beautiful Creatures	The Last Five Years	director in common
Death to Smoochy	Duplex	director in common
Death to Smoochy	Hoffa	director in common
Zoolander 2	The Cable Guy	director in common
Zoolander 2	Zoolander	director and 2 actors in common
The Big Bounce	Grosse Pointe Blank	director in common
What Planet Are You From?	Closer	director in common
What Planet Are You From?	Catch-22	director in common
Drive Angry	Dracula 2000	director in common
Drive Angry	My Bloody Valentine	director in common
Drive Angry	White Noise 2: The Light	director in common
Street Fighter: The Legend of Chun-Li	Exit Wounds	director in common
Street Fighter: The Legend of Chun-Li	Romeo Must Die	director in common
Street Fighter: The Legend of Chun-Li	Cradle 2 the Grave	director in common
The One	Dragonball: Evolution	director in common
The One	Romeo Must Die	 2 actors in common
The One	Final Destination 3	director in common
The One	War	 2 actors in common
The One	Final Destination	director in common
The Adventures of Ford Fairlane	Mindhunters	director in common
The Adventures of Ford Fairlane	The Covenant	director in common
The Adventures of Ford Fairlane	12 Rounds	director in common
The Adventures of Ford Fairlane	A Nightmare on Elm Street 4: The Dream Master	director in common
The Adventures of Ford Fairlane	5 Days of War	director in common
The Adventures of Ford Fairlane	Prison	director in common
Pirate Radio	Love Actually	director in common
Pirate Radio	About Time	director in common
Traffic	Out of Sight	director in common
Traffic	The Good German	director in common
Traffic	Side Effects	director in common
Traffic	Haywire	director in common
Traffic	The Informant!	director in common
Traffic	The Limey	director in common
Traffic	Magic Mike	director in common
Traffic	Full Frontal	director in common
Traffic	Sex, Lies, and Videotape	director in common
Indiana Jones and the Last Crusade	Bridge of Spies	director in common
Indiana Jones and the Last Crusade	Amistad	director in common
Indiana Jones and the Last Crusade	1941	director in common
Indiana Jones and the Last Crusade	Indiana Jones and the Temple of Doom	director in common
Indiana Jones and the Last Crusade	Schindler's List	director in common
Indiana Jones and the Last Crusade	Raiders of the Lost Ark	director in common
Indiana Jones and the Last Crusade	Close Encounters of the Third Kind	director in common
Indiana Jones and the Last Crusade	The Color Purple	director in common
Indiana Jones and the Last Crusade	Jaws	director in common
Indiana Jones and the Last Crusade	E.T. the Extra-Terrestrial	director in common
Anna Karenina	Atonement	director in common
Anna Karenina	Hanna	director in common
Anna Karenina	Pride & Prejudice	director in common
Chappie	District 9	director in common
The Bone Collector	Patriot Games	director in common
The Bone Collector	The Giver	director in common
The Bone Collector	The Quiet American	director in common
The Bone Collector	Catch a Fire	director in common
The Bone Collector	Rabbit-Proof Fence	director in common
Panic Room	The Social Network	director in common
Panic Room	Se7en	director in common
Three Kings	American Hustle	director in common
Three Kings	Accidental Love	director in common
Three Kings	I Heart Huckabees	director in common
Three Kings	Silver Linings Playbook	director in common
Three Kings	The Fighter	director in common
Three Kings	Flirting with Disaster	director in common
Three Kings	The Specials	 2 actors in common
Child 44	Easy Money	director in common
Rat Race	Ghost	director in common
K-PAX	The Skeleton Key	director in common
K-PAX	Hackers	director in common
K-PAX	The Men Who Stare at Goats	 2 actors in common
Kate & Leopold	3:10 to Yuma	director in common
Kate & Leopold	Walk the Line	director in common
Kate & Leopold	Identity	director in common
Kate & Leopold	Girl, Interrupted	director in common
Kate & Leopold	Cop Land	director in common
Bedazzled	Multiplicity	director in common
Bedazzled	Analyze This	director in common
Bedazzled	National Lampoon's Vacation	director in common
Bedazzled	Groundhog Day	director in common
Bedazzled	Caddyshack	director in common
The Cotton Club	Bram Stoker's Dracula	director in common
The Cotton Club	The Rainmaker	director in common
The Cotton Club	Apocalypse Now	director in common
The Cotton Club	Peggy Sue Got Married	director in common
The Cotton Club	The Godfather: Part II	director in common
The Cotton Club	The Outsiders	director in common
The Cotton Club	The Godfather	director in common
The Cotton Club	Twixt	director in common
The Cotton Club	The Conversation	director in common
3:10 to Yuma	Walk the Line	director in common
3:10 to Yuma	Identity	director in common
3:10 to Yuma	Girl, Interrupted	director in common
3:10 to Yuma	Cop Land	director in common
Taken 3	Taken 2	director in common
Taken 3	Colombiana	director in common
