movie1	movie2	class
Pacific Rim	Hellboy II: The Golden Army	director in common
Pacific Rim	Hellboy	director in common
Pacific Rim	Blade II	director in common
Pacific Rim	Pan's Labyrinth	director in common
Transformers: Dark of the Moon	Pearl Harbor	director in common
Transformers: Dark of the Moon	Transformers	director in common
Transformers: Dark of the Moon	Armageddon	director in common
Transformers: Dark of the Moon	Bad Boys II	director in common
Transformers: Dark of the Moon	The Island	director in common
Transformers: Dark of the Moon	The Rock	director in common
Transformers: Dark of the Moon	13 Hours	director in common
Transformers: Dark of the Moon	Pain & Gain	director in common
Transformers: Dark of the Moon	Bad Boys	director in common
Indiana Jones and the Kingdom of the Crystal Skull	The BFG	director in common
Indiana Jones and the Kingdom of the Crystal Skull	War of the Worlds	director in common
Indiana Jones and the Kingdom of the Crystal Skull	The Adventures of Tintin	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Minority Report	director in common
Indiana Jones and the Kingdom of the Crystal Skull	A.I. Artificial Intelligence	director in common
Indiana Jones and the Kingdom of the Crystal Skull	The Lost World: Jurassic Park	director in common
Indiana Jones and the Kingdom of the Crystal Skull	The Terminal	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Munich	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Hook	director in common
Indiana Jones and the Kingdom of the Crystal Skull	War Horse	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Saving Private Ryan	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Lincoln	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Jurassic Park	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Catch Me If You Can	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Indiana Jones and the Last Crusade	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Bridge of Spies	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Amistad	director in common
Indiana Jones and the Kingdom of the Crystal Skull	1941	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Indiana Jones and the Temple of Doom	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Schindler's List	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Raiders of the Lost Ark	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Close Encounters of the Third Kind	director in common
Indiana Jones and the Kingdom of the Crystal Skull	The Color Purple	director in common
Indiana Jones and the Kingdom of the Crystal Skull	Jaws	director in common
Indiana Jones and the Kingdom of the Crystal Skull	E.T. the Extra-Terrestrial	director in common
Star Trek Beyond	Fast Five	director in common
Star Trek Beyond	The Fast and the Furious: Tokyo Drift	director in common
Star Trek Beyond	Finishing the Game: The Search for a New Bruce Lee	director in common
Star Trek Beyond	Better Luck Tomorrow	director in common
WALL·E	Finding Nemo	director in common
Rush Hour 3	Hercules	director in common
Rush Hour 3	Rush Hour 2	director in common
Rush Hour 3	Tower Heist	director in common
Rush Hour 3	Red Dragon	director in common
Rush Hour 3	The Family Man	director in common
Rush Hour 3	After the Sunset	director in common
Rush Hour 3	Money Talks	director in common
2012	Independence Day: Resurgence	director in common
2012	White House Down	director in common
2012	The Day After Tomorrow	director in common
2012	The Patriot	director in common
2012	Independence Day	director in common
2012	Anonymous	director in common
2012	Stonewall	director in common
A Christmas Carol	The Polar Express	director in common
A Christmas Carol	Beowulf	director in common
A Christmas Carol	What Lies Beneath	director in common
A Christmas Carol	Contact	director in common
A Christmas Carol	Cast Away	director in common
A Christmas Carol	Forrest Gump	director in common
A Christmas Carol	Death Becomes Her	director in common
A Christmas Carol	Back to the Future Part II	director in common
A Christmas Carol	Back to the Future Part III	director in common
A Christmas Carol	The Walk	director in common
A Christmas Carol	Flight	director in common
A Christmas Carol	Tinker Tailor Soldier Spy	 2 actors in common
A Christmas Carol	Back to the Future	director in common
Jupiter Ascending	The Matrix Revolutions	director in common
Jupiter Ascending	The Matrix Reloaded	director in common
Jupiter Ascending	Speed Racer	director in common
Jupiter Ascending	The Matrix	director in common
Jupiter Ascending	Bound	director in common
The Legend of Tarzan	Harry Potter and the Order of the Phoenix	director in common
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	Shrek 2	director in common
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	Shrek	director in common
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	Cirque du Soleil: Worlds Away	director in common
X-Men: Apocalypse	X-Men: First Class	 2 actors in common
X-Men: Apocalypse	X-Men 2	director in common
X-Men: Apocalypse	Valkyrie	director in common
X-Men: Apocalypse	X-Men	director in common
X-Men: Apocalypse	The Usual Suspects	director in common
The Dark Knight	Interstellar	director in common
The Dark Knight	Inception	director in common
The Dark Knight	Batman Begins	director and 2 actors in common
The Dark Knight	Insomnia	director in common
The Dark Knight	The Prestige	director in common
The Dark Knight	I'm Not There.	 2 actors in common
The Dark Knight	Memento	director in common
Up	Inside Out	director in common
Up	Monsters, Inc.	director in common
Monsters vs. Aliens	Gulliver's Travels	director in common
Monsters vs. Aliens	Goosebumps	director in common
Iron Man	The Jungle Book	director in common
Iron Man	Iron Man 2	director and 2 actors in common
Iron Man	Zathura: A Space Adventure	director in common
Iron Man	Elf	director in common
Iron Man	Made	director in common
Hugo	Dark Shadows	 2 actors in common
Hugo	The Aviator	director in common
Hugo	The Wolf of Wall Street	director in common
Hugo	Gangs of New York	director in common
Hugo	The Departed	director in common
Hugo	Shutter Island	director in common
Hugo	Casino	director in common
Hugo	Mean Streets	director in common
Hugo	Cape Fear	director in common
Hugo	The Age of Innocence	director in common
Hugo	Bringing Out the Dead	director in common
Hugo	Kundun	director in common
Hugo	Goodfellas	director in common
Hugo	Raging Bull	director in common
Hugo	New York, New York	director in common
Hugo	The Color of Money	director in common
Hugo	The Last Temptation of Christ	director in common
Hugo	Taxi Driver	director in common
Hugo	Shine a Light	director in common
Hugo	The Last Waltz	director in common
Wild Wild West	Men in Black II	director in common
Wild Wild West	Men in Black	director in common
Wild Wild West	Big Trouble	director in common
Wild Wild West	Get Shorty	director in common
Wild Wild West	The Addams Family	director in common
The Mummy: Tomb of the Dragon Emperor	The Fast and the Furious	director in common
The Mummy: Tomb of the Dragon Emperor	Stealth	director in common
The Mummy: Tomb of the Dragon Emperor	Daylight	director in common
The Mummy: Tomb of the Dragon Emperor	xXx	director in common
The Mummy: Tomb of the Dragon Emperor	DragonHeart	director in common
The Mummy: Tomb of the Dragon Emperor	Alex Cross	director in common
The Mummy: Tomb of the Dragon Emperor	The Skulls	director in common
The Mummy: Tomb of the Dragon Emperor	The Boy Next Door	director in common
Suicide Squad	Fury	director in common
Suicide Squad	Sabotage	director in common
Suicide Squad	Street Kings	director in common
Suicide Squad	End of Watch	director in common
Suicide Squad	Harsh Times	director in common
Evan Almighty	Bruce Almighty	director and 2 actors in common
Evan Almighty	Dragonfly	director in common
Evan Almighty	The Nutty Professor	director in common
Evan Almighty	Patch Adams	director in common
Evan Almighty	Liar Liar	director in common
Evan Almighty	Ace Ventura: Pet Detective	director in common
Edge of Tomorrow	Mr. & Mrs. Smith	director in common
Edge of Tomorrow	Jumper	director in common
Edge of Tomorrow	Vanilla Sky	 2 actors in common
Edge of Tomorrow	The Bourne Identity	director in common
Edge of Tomorrow	Fair Game	director in common
Edge of Tomorrow	Go	director in common
Edge of Tomorrow	Swingers	director in common
Waterworld	Robin Hood: Prince of Thieves	director in common
Waterworld	The Count of Monte Cristo	director in common
Waterworld	Risen	director in common
Waterworld	Rapa Nui	director in common
G.I. Joe: The Rise of Cobra	The Mummy Returns	director in common
G.I. Joe: The Rise of Cobra	Deep Rising	director in common
G.I. Joe: The Rise of Cobra	The Adventures of Huck Finn	director in common
Inside Out	Monsters, Inc.	director in common
The Jungle Book	Iron Man 2	director in common
The Jungle Book	Zathura: A Space Adventure	director in common
The Jungle Book	Elf	director in common
The Jungle Book	Made	director in common
The Jungle Book	Lost in Translation	 2 actors in common
Iron Man 2	Zathura: A Space Adventure	director in common
Iron Man 2	Elf	director in common
Iron Man 2	Made	director in common
Snow White and the Huntsman	The Huntsman: Winter's War	 2 actors in common
Dawn of the Planet of the Apes	Cloverfield	director in common
Dawn of the Planet of the Apes	Let Me In	director in common
Dawn of the Planet of the Apes	The Pallbearer	director in common
The Lovers	The Scarlet Letter	director in common
The Lovers	There Be Dragons	director in common
Captain America: The Winter Soldier	Captain America: The First Avenger	 2 actors in common
Captain America: The Winter Soldier	You, Me and Dupree	director in common
